date,open_SO2,sate_SO2,"Bollaram Industrial Area, Hyderabad - TSPCB","Central University, Hyderabad - TSPCB","ECIL Kapra, Hyderabad - TSPCB","ICRISAT Patancheru, Hyderabad - TSPCB","IDA Pashamylaram, Hyderabad - TSPCB","IITH Kandi, Hyderabad - TSPCB"
2021-06-13,4.645833333333333,0.1539999994,15.86,1.59,15.86,7.9,0.9,0.9
2021-06-14,6.0875,0.1879999987999999,10.79,0.34,10.79,8.13,0.46,0.46
2021-06-15,4.94625,0.2040000006,6.63,1.1,6.63,7.04,2.02,2.02
2021-06-16,4.985416666666667,0.0620000004,10.31,0.87,10.31,8.48,1.2,1.2
2021-06-17,5.699166666666668,0.103999996,17.95,0.84,17.95,6.91,2.36,2.36
2021-06-18,3.98875,0.0019999975999999,20.68,1.61,20.68,6.8,0.83,0.83
2021-06-19,3.1975,0.0320000029999999,25.31,1.02,25.31,6.0,2.04,2.04
2021-06-20,4.63625,-0.01,31.22,1.72,31.22,6.11,0.94,0.94
2021-06-21,6.892083333333335,0.100000001,32.63,1.16,32.63,6.49,1.05,1.05
2021-06-22,6.671666666666667,0.1740000078,27.12,1.44,27.12,8.15,2.59,2.59
2021-06-23,8.6275,0.1319999968,31.7,1.67,31.7,7.26,3.35,3.35
2021-06-24,5.584166666666668,0.1140000015999999,20.5,1.22,20.5,6.67,0.93,0.93
2021-06-25,4.825,0.1919999976,26.15,2.13,26.15,6.32,2.49,2.49
2021-06-26,4.92875,0.4459999802,23.46,0.96,23.46,5.17,2.23,2.23
2021-06-27,6.057916666666667,-0.0419999983999999,16.14,0.6,16.14,5.66,1.76,1.76
2021-06-28,14.793333333333337,-0.1180000016,21.44,1.51,21.44,6.77,2.41,2.41
2021-06-29,10.607916666666666,0.0060000053999999,20.08,1.21,20.08,7.78,1.72,1.72
2021-06-30,14.364583333333334,-0.029999999,18.85,1.33,18.85,7.76,2.59,2.59
2021-07-01,10.562500000000004,-0.1299999958,22.53,2.16,22.53,7.33,1.95,1.95
2021-07-02,10.55,0.2520000082,17.17,0.43,17.17,6.54,1.63,1.63
2021-07-03,15.122916666666663,0.1060000067999999,16.36,1.75,16.36,8.67,1.37,1.37
2021-07-04,10.473333333333334,0.1680000022,20.5,1.08,20.5,6.11,1.44,1.44
2021-07-05,17.86041666666667,0.0979999949999999,22.64,1.24,22.64,5.97,1.64,1.64
2021-07-06,15.875,0.100000001,25.35,1.53,25.35,4.61,0.69,0.69
2021-07-07,14.771666666666668,-0.123999998,14.12,1.77,14.12,4.37,0.39,0.39
2021-07-08,10.89375,-0.0099999971999999,26.08,0.83,26.08,6.71,2.09,2.09
2021-07-09,9.477916666666667,0.367999986,24.82,0.83,24.82,5.74,1.46,1.46
2021-07-10,7.56083333333333,-0.0019999992,23.01,1.86,23.01,4.89,1.2,1.2
2021-07-11,6.777499999999997,-0.008,22.6,1.33,22.6,3.28,1.36,1.36
2021-07-12,7.450000000000002,0.1900000023999999,17.33,0.58,17.33,3.87,0.37,0.37
2021-07-13,5.680833333333333,0.0540000021999999,18.25,1.1,18.25,4.35,1.19,1.19
2021-07-14,5.130416666666666,0.1259999895999999,22.07,0.4,22.07,3.0,1.47,1.47
2021-07-15,6.62125,0.1120000032,18.2,0.77,18.2,3.54,1.76,1.76
2021-07-16,9.39375,0.0360000071999999,30.06,1.36,30.06,4.83,0.9,0.9
2021-07-17,9.945000000000002,-0.257999996,16.96,1.98,16.96,5.04,2.12,2.12
2021-07-18,10.404583333333337,-0.3360000016,22.46,1.52,22.46,5.4,1.29,1.29
2021-07-19,4.8500000000000005,0.4240000034,15.55,0.86,15.55,4.57,2.47,2.47
2021-07-20,4.805833333333333,0.0040000021999999,10.93,0.53,10.93,4.24,1.99,1.99
2021-07-21,4.0441666666666665,0.1680000014,6.12,0.79,6.12,4.56,0.84,0.84
2021-07-22,4.08625,0.0759999979999999,6.56,2.53,6.56,4.15,5.98,5.98
2021-07-23,5.147083333333332,-0.005999999,22.51,2.26,22.51,3.26,1.68,1.68
2021-07-24,4.177083333333333,0.1440000061999999,45.77,2.62,45.77,2.82,2.96,2.96
2021-07-25,4.6525,0.3379999996,27.0,2.94,27.0,4.78,4.94,4.94
2021-07-26,5.139583333333333,-0.0499999987999999,13.16,2.99,13.16,5.42,3.38,3.38
2021-07-27,4.8925,0.1420000015999999,9.77,3.32,9.77,5.03,1.27,1.27
2021-07-28,4.899583333333333,0.4620000128000001,11.62,2.4,11.62,3.77,2.08,2.08
2021-07-29,4.735416666666668,0.468000003,14.24,2.16,14.24,4.49,2.06,2.06
2021-07-30,4.969166666666667,0.1699999995999999,17.36,2.23,17.36,3.97,1.54,1.54
2021-07-31,3.474583333333334,0.1019999973999999,15.23,3.21,15.23,2.92,1.1,1.1
2021-08-01,4.078333333333333,-0.1320000054,7.68,3.04,7.68,3.46,1.01,1.01
2021-08-02,5.404166666666666,0.0080000055999999,7.86,2.06,7.86,3.78,2.25,2.25
2021-08-03,5.497499999999999,0.3399999946,15.62,2.63,15.62,2.97,1.67,1.67
2021-08-04,5.551666666666667,0.187999994,19.49,2.67,19.49,3.18,1.3,1.3
2021-08-05,6.045833333333332,0.2360000013999999,23.43,5.22,23.43,4.83,2.31,2.31
2021-08-06,6.763750000000001,-0.0319999984,26.87,2.5,26.87,4.65,1.92,1.92
2021-08-07,6.257916666666667,0.150000006,31.72,2.9,31.72,5.41,1.65,1.65
2021-08-08,11.558333333333332,-0.0720000028,23.8,2.81,23.8,4.51,1.24,1.24
2021-08-09,10.615,0.1019999994,26.25,3.13,26.25,5.31,1.46,1.46
2021-08-10,7.759583333333334,-0.2119999984,31.29,2.45,31.29,4.47,2.73,2.73
2021-08-11,7.734166666666666,-0.2599999948,24.55,3.55,24.55,5.07,3.3,3.3
2021-08-12,9.60625,0.3600000024,20.39,2.52,20.39,4.97,3.18,3.18
2021-08-13,11.63083333333333,0.0280000045999999,18.58,1.96,18.58,4.66,5.26,5.26
2021-08-14,4.521666666666666,0.0260000006,31.74,3.2,31.74,5.41,4.33,4.33
2021-08-15,5.736666666666667,-0.0399999978,36.04,3.02,36.04,4.25,2.16,2.16
2021-08-16,7.03375,0.2040000079999999,16.99,1.88,16.99,5.99,4.76,4.76
2021-08-17,7.011666666666667,0.0020000002,28.61,3.02,28.61,4.39,2.68,2.68
2021-08-18,5.90875,0.3020000092,33.68,3.26,33.68,4.1,1.94,1.94
2021-08-19,5.075,0.0419999946,42.86,2.3,42.86,4.69,3.51,3.51
2021-08-20,9.31875,-0.1739999982,48.17,2.49,48.17,4.77,3.3,3.3
