date,open_SO2,sate_SO2,"Manoharpur, Agra - UPPCB","Rohta, Agra - UPPCB","Sanjay Palace, Agra - UPPCB","Sector-3B Avas Vikas Colony, Agra - UPPCB","Shahjahan Garden, Agra - UPPCB","Shastripuram, Agra - UPPCB"
2021-07-19,10.612083333333334,0.2748640354,3.87,5.13,5.13,8.42,5.13,3.39
2021-07-20,9.66375,-0.0634228824,3.93,5.3,5.3,8.5,5.3,3.41
2021-07-21,15.85,-0.560111891,4.01,4.97,4.97,8.65,4.97,3.45
2021-07-22,15.15041666666667,0.0029404491999999,3.89,5.17,5.17,8.73,5.17,3.57
2021-07-23,10.542916666666663,-0.02,4.15,5.08,5.08,8.87,5.08,3.98
2021-07-24,8.538333333333332,0.184319749,4.49,5.14,5.14,8.89,5.14,3.86
2021-07-25,7.304166666666666,0.032254614,4.39,4.54,4.54,8.93,4.54,3.98
2021-07-26,12.74125,-0.0798591077999999,4.49,4.54,5.11,9.09,5.11,4.13
2021-07-27,6.649166666666667,-0.2004137956,4.49,1.33,5.22,7.79,5.22,4.05
2021-07-28,8.114166666666666,0.1118873695999999,4.84,1.53,5.2,2.23,5.2,4.19
2021-07-29,10.041249999999996,0.2351142021999999,5.35,1.67,5.2,2.27,5.2,4.26
2021-07-30,15.38875,-0.4823947212000001,5.14,2.07,4.85,2.27,4.85,4.34
2021-07-31,6.070833333333334,-0.2408139652,5.1,2.35,5.12,2.45,5.12,4.44
2021-08-01,7.547500000000002,-0.046250024,5.98,2.38,4.94,2.33,4.94,4.7
2021-08-02,9.15,0.0889922125999999,7.72,2.15,5.19,2.39,5.19,4.54
2021-08-03,6.221666666666668,-0.0050144517999999,6.35,2.34,5.28,2.48,5.28,4.59
2021-08-04,6.556666666666666,0.0828645232,5.72,2.64,5.28,2.5,5.28,4.7
2021-08-05,9.29875,-0.0769650958,7.67,2.86,5.16,2.61,5.16,4.72
2021-08-06,13.930416666666668,0.0573653272,8.6,3.04,5.16,2.81,5.16,4.83
2021-08-07,10.978333333333332,0.4823051607999999,6.88,3.31,5.34,2.84,5.34,4.92
2021-08-08,19.252916666666664,0.1858599366,5.01,3.22,5.13,2.82,5.13,4.85
2021-08-09,14.746250000000002,0.0544646059999999,5.1,3.15,5.2,2.79,5.2,4.96
2021-08-10,5.5008333333333335,-0.09291441,5.02,3.23,5.16,2.67,5.16,5.0
2021-08-11,6.025000000000001,0.219999999,5.36,3.57,5.26,2.87,5.26,5.08
2021-08-12,6.867499999999999,0.0585428087999999,5.43,3.33,5.26,2.96,5.26,5.16
2021-08-13,5.692500000000002,0.1224552702,5.61,3.03,4.85,2.99,4.85,5.68
